dbo,cargosareas,idproducto,productos,idproducto,FK_cargosareas
dbo,cheqdet,idproducto,productos,idproducto,FK_cheqdet_productos
dbo,cheqdetf,idproducto,productos,idproducto,FK_cheqdetf_productos
dbo,cheqdetfeliminados,idproducto,productos,idproducto,FK_cheqdetfeliminados_productos
dbo,comentarios,idproducto,productos,idproducto,FK_comentarios_productos
dbo,costos,idproducto,productos,idproducto,FK_costos_productos
dbo,explosionproductosdetalle,idproducto,productos,idproducto,FK_explosionproductosdetalle_productos
dbo,gruposmodificadoresproductos,idproducto,productos,idproducto,FK_gruposmodificadoresproductos_productos
dbo,listadepreciosdetalle,idproducto,productos,idproducto,FK_listadepreciosdetalle_productos
dbo,modificadores,idproducto,productos,idproducto,FK_modificadores_productos
dbo,ModifiersPriceLists,FKidmodificador,productos,idproducto,FK_ModifiersPriceLists_productos
dbo,paquetes,idproductopaquete,productos,idproducto,FK_paquetes_productos1
dbo,productos,idgrupo,grupos,idgrupo,FK_productos_grupos
dbo,productos_puntos,idproducto,productos,idproducto,FK_productos_puntos_productos
dbo,ProductosAgruparConfig,FKidproductoPrincipal,productos,idproducto,FK_ProductosAgruparConfig_productos
dbo,productosdelivery,idproducto,productos,idproducto,FK_productosdelivery_productos
dbo,productosdetalle,idproducto,productos,idproducto,FK_productosdetalle_productos
dbo,productosenproduccion,idproducto,productos,idproducto,FK_productosenproduccion_productos
dbo,ProductosEquivalenciasConfig,FKidproductoEquivalente,productos,idproducto,FK_ProductosEquivalenciasConfig_productos
dbo,productosmonedero,idproducto,productos,idproducto,FK_productosmonedero_productos
dbo,productosmonitores,idproducto,productos,idproducto,FK_productosmonitores_productos
dbo,ProductPriceLists,idproducto,productos,idproducto,FK_ProductPriceLists_idproducto
dbo,promoproductos,idproducto,productos,idproducto,FK_promoproductos_productos
dbo,recetasalmacenes,idproducto,productos,idproducto,FK_recetasalmacenes_productos
dbo,serviciominutospatin,idservicio,productos,idproducto,FK_serviciominutospatin_productos
dbo,subgruposproductos,idproducto,productos,idproducto,FK_subgruposproductos_productos1
dbo,tempcancela,clave,productos,idproducto,FK_tempcancela_productos
dbo,tempcheqdet,idproducto,productos,idproducto,FK_tempcheqdet_productos
dbo,tempcheqdetauthsrx,idproducto,productos,idproducto,FK_tempcheqdetauthsrx_productos
dbo,tempchequesinfo,folio,tempcheques,folio,FK_tempchequesinfo_tempcheques
dbo,tempchequespagos,idformadepago,formasdepago,idformadepago,FK_tempchequespagos_formasdepago
dbo,tempexplosionproductosdetalle,idproducto,productos,idproducto,FK_tempexplosionproductosdetalle_productos
dbo,turnos,idestacion,estaciones,idestacion,FK_turnos_estaciones
